New Delhi | ['Information Technology', 'Telecommunication', 'Hotel management', 'Media', 'Banking', 'Tourism']
Jammu and Kashmir | ['Tourism', 'Agriculture', 'Software Services']
Jharkhand | ['Agriculture', 'Tourism', 'Food Processing', 'Dairy Farming']
Bihar | ['Food Processing', 'Dairy farming','Textile industry', 'Leather industry', 'Petrochemicals', 'Tourism']
Rajasthan | ['Textile industry', 'Handloom and handicrafts','Gas supply','Hotel management']
Punjab | ['Agro-based industrial units', 'Mining', 'Agriculture equipment manufacturing']
Odisha | ['Agriculture equipment manufacturing', 'Mining', 'Gas supply', 'Water supply', 'Ship building']
Himachal Pradesh | ['Agriculture', 'Tourism', 'Pharmaceutical']
Madhya Pradesh | ['Textile manufacturing', 'Food processing', 'Software services', 'Agriculture equipment manufacturing']
Manipur | ['Tourism', 'Craft making business', 'Soap making business', 'Jewellery making']
Meghalaya | ['Floriculture', 'Tourism', 'Beautician', 'Handloom  and handicrafts']
Karnataka | ['Software Services', 'Agro-based industrial units', 'Aerospace', 'Textile  manufacturing', 'Biotechnology']
Kerala | ['Handloom and handicrafts', 'Textile manufacturing','Tourism', 'Agriculture', 'Petrochemicals', 'Ship Building']
Tamil Nadu | [Software Services', 'Medical Tourism', 'Entertainment', 'Petrochemicals', 'Textiles', 'Banking']
Uttar Pradesh | ['Agro-based industrial units','Food Processing', 'Software Services', 'Tourism', 'Petrochemicals', 'Textiles manufacturing']
Maharashtra | ['Media','Petrochemicals', 'Tourism', 'Textile manufacturing', 'Aerospace']
Sikkim | ['Pharmaceutical', 'Tourism', 'Food Processing','Leather industry']
Nagaland | ['Agro-based industrial units', 'Horticulture', 'Food processing', 'Mining', 'Tourism', 'Handloom and handicrafts']
Tripura | ['Banking', 'Agriculture','Tourism','Poultry farming']
Andhra Pradesh | ['Agro-based industrial units','Mining', 'Textile manufacturing', 'Software services', 'Pharmaceutical', 'Horticulture', 'Poultry farming']
Arunachal Pradesh | ['Agriculture', 'Handloom and handicrafts', 'Craft making business', 'Horticulture']
Assam | ['Water supply', 'Agriculture', 'Banking', 'Tourism']
Chhattisgarh | ['Agriculture', 'Food Processing', 'Handloom and handicrafts', 'Pharmaceutical', 'Tourism', 'Horticulture', 'Poultry farming']
Goa | ['Agriculture', 'Tourism', 'Pharmaceutical', 'Software services', 'Hotel management', 'FMCG', 'Telecommunication']
Gujarat | ['Agriculture', 'Petrochemicals', 'Pharmaceutical', 'Textile manufacturing']
Haryana | ['Agro-based industrial units', 'Food Processing','Handloom and handicrafts','Textile manufacturing','Pharmaceutical']
Telangana | ['Mining', 'Textile manufacturing', 'Pharmaceutical', 'Horticulture', 'Poultry farming']
Uttarkhand | ['Floriculture', 'Horticulture', 'Pharmaceutical', 'Biotechnology', 'FMCG','Tourism',]
West Bengal | ['Media', 'Marketing', 'Textile industry', 'Tea industry', 'Food processing', 'Tourism', 'Information Technology']
Ladakh | ['Agriculture', 'Horticulture', 'Dairy farming', 'Tourism']
